entityIndex,entityType,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
102,AggregateHousehold,1335  OFF COONEYMUS,1335,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1335  OFF COONEYMUS
103,AggregateHousehold,1402  OFF COONEYMUS,1402,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1402  OFF COONEYMUS
104,LegalConstruct,1400  OFF COONEYMUS,1400,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1400  OFF COONEYMUS
105,LegalConstruct,1169  OFF COONEYMUS,1169,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1169  OFF COONEYMUS
106,Individual,1120  OFF COONEYMUS,1120,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1120  OFF COONEYMUS
107,LegalConstruct,1132  OFF COONEYMUS,1132,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1132  OFF COONEYMUS
108,AggregateHousehold,1028  OFF COONEYMUS,1028,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1028  OFF COONEYMUS
109,LegalConstruct,903 OFF COONEYMUS,903,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,903 OFF COONEYMUS
110,LegalConstruct,904 OFF COONEYMUS,904,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,904 OFF COONEYMUS
111,AggregateHousehold,1117  OFF COONEYMUS,1117,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1117  OFF COONEYMUS
112,LegalConstruct,901:^#^:1431 OFF COONEYMUS,901,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,901:^#^:1431 OFF COONEYMUS
113,AggregateHousehold,895  OFF COONEYMUS,895,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,895  OFF COONEYMUS
114,LegalConstruct,894  OFF COONEYMUS,894,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,894  OFF COONEYMUS
115,AggregateHousehold,891  OFF COONEYMUS,891,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,891  OFF COONEYMUS
116,AggregateHousehold,889  OFF COONEYMUS,889,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,889  OFF COONEYMUS
117,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
118,LegalConstruct,888 OFF COONEYMUS,888,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,888 OFF COONEYMUS
119,AggregateHousehold,887  OFF COONEYMUS,887,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,887  OFF COONEYMUS
120,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
121,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
122,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
123,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
124,LegalConstruct,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
125,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
126,LegalConstruct,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
127,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
128,LegalConstruct,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
129,LegalConstruct,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
130,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
131,LegalConstruct,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
132,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
133,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
134,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
135,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
136,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
137,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
138,LegalConstruct,1091  OFF CONNEYMUS,1091,OFF CONNEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1091  OFF CONNEYMUS
139,Business,OFF COONEYMUS,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS
140,AggregateHousehold,OFF CONNECTICUT AVE,NOT PARSED,OFF CONNECTICUT AVE,Ave,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CONNECTICUT AVE
141,AggregateHousehold,1590 OFF CONNECTICUT AVE,1590,OFF CONNECTICUT AVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1590 OFF CONNECTICUT AVE
142,AggregateHousehold,1667 OFF CONNECTICUT AVE,1667,OFF CONNECTICUT AVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1667 OFF CONNECTICUT AVE
143,Individual,529  OFF CONNECTICUT AVE,529,OFF CONNECTICUT AVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,529  OFF CONNECTICUT AVE
144,Business,OFF CONNECTICUT AVE,NOT PARSED,OFF CONNECTICUT AVE,Ave,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CONNECTICUT AVE
145,LegalConstruct,1563 OFF CONNECTICUT,1563,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1563 OFF CONNECTICUT
146,Individual,1191 OFF CONNECTICUT,1191,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1191 OFF CONNECTICUT
147,AggregateHousehold,1125 OFF CONNECTICUT,1125,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1125 OFF CONNECTICUT
148,AggregateHousehold,1038  OFF CONNECTICUT,1038,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1038  OFF CONNECTICUT
149,AggregateHousehold,532  OFF CONNECTICUT,532,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,532  OFF CONNECTICUT
150,AggregateHousehold,528  OFF CONNECTICUT,528,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,528  OFF CONNECTICUT
151,AggregateHousehold,530  OFF CONNECTICUT,530,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,530  OFF CONNECTICUT
152,AggregateHousehold,531  OFF CONNECTICUT,531,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,531  OFF CONNECTICUT
153,AggregateHousehold,527  OFF CONNECTICUT,527,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,527  OFF CONNECTICUT
154,AggregateHousehold,526  OFF CONNECTICUT,526,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,526  OFF CONNECTICUT
155,AggregateHousehold,524  OFF CONNECTICUT,524,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,524  OFF CONNECTICUT
156,LegalConstruct,522  OFF CONNECTICUT,522,OFF CONNECTICUT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,522  OFF CONNECTICUT
157,Individual,1665  OFF CONN AVE,1665,OFF CONN AVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1665  OFF CONN AVE
