entityIndex,entityType,addressIndex,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
17,Business,0,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035,300,WESTGATE CENTER,Dr,NOT PARSED,NOT PARSED,HADLEY,MA,01035,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035
18,LegalConstruct,0,730 3RD AVE:^#^: 11TH FLOOR::#^#::NEW YORK:^#^: NY 10017,730,3RD AVE 11TH,NOT PARSED,FLOOR,NEW,YORK,NY,10017,730 3RD AVE:^#^: 11TH FLOOR::#^#::NEW YORK:^#^: NY 10017
19,LegalConstruct,0,P.O. BOX 491::#^#::BRIDGTON:^#^: ME 04009,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,491,BRIDGTON,ME,04009,P.O. BOX 491::#^#::BRIDGTON:^#^: ME 04009
20,LegalConstruct,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
22,Business,0,240 HOPE STREET::#^#::PROVIDENCE:^#^: RI 02906,240,HOPE,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,240 HOPE STREET::#^#::PROVIDENCE:^#^: RI 02906
23,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
24,Business,0,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906
25,AggregateHousehold,0,USPS::#^#::P.O. BOX 175::#^#::WOODSTOCK:^#^: VT 05091,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,175,WOODSTOCK,VT,05091,USPS::#^#::P.O. BOX 175::#^#::WOODSTOCK:^#^: VT 05091
26,Business,0,PO BOX 399::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,399,Block Island,RI,02807,PO BOX 399::#^#::BLOCK ISLAND:^#^: RI 02807
27,AggregateHousehold,0,1702 NORTH PARK DR UNIT # 57::#^#::WILMINGTON:^#^: DE 19806,1702,PARK,Dr,UNIT,57,WILMINGTON,DE,19806,1702 NORTH PARK DR UNIT # 57::#^#::WILMINGTON:^#^: DE 19806
28,Individual,0,165 BOGGS RD::#^#::NEWTOWN:^#^: CT 06470,165,BOGGS,Rd,NOT PARSED,NOT PARSED,NEWTOWN,CT,06470,165 BOGGS RD::#^#::NEWTOWN:^#^: CT 06470
29,AggregateHousehold,0,518 PINE ST::#^#::PHILADELPHIA:^#^: PA 19106,518,PINE,St,NOT PARSED,NOT PARSED,PHILADELPHIA,PA,19106,518 PINE ST::#^#::PHILADELPHIA:^#^: PA 19106
30,LegalConstruct,0,390 OLD BRIARCLIFF ROAD::#^#::BRIARCLIFF:^#^: NY 10510,390,OLD BRIARCLIFF,Rd,NOT PARSED,NOT PARSED,BRIARCLIFF,NY,10510,390 OLD BRIARCLIFF ROAD::#^#::BRIARCLIFF:^#^: NY 10510
31,AggregateHousehold,0,PO BOX 116::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,116,Block Island,RI,02807,PO BOX 116::#^#::BLOCK ISLAND:^#^: RI 02807
32,LegalConstruct,0,25 SHARPE DRIVE::#^#::CRANSTON:^#^: RI 02920,25,SHARPE,Dr,NOT PARSED,NOT PARSED,CRANSTON,RI,02920,25 SHARPE DRIVE::#^#::CRANSTON:^#^: RI 02920
33,LegalConstruct,0,170 LINDEN FARM ROAD::#^#::LOCUST VALLEY:^#^: NY 11560,170,LINDEN FARM,Rd,NOT PARSED,NOT PARSED,LOCUST VALLEY,NY,11560,170 LINDEN FARM ROAD::#^#::LOCUST VALLEY:^#^: NY 11560
34,AggregateHousehold,0,PO BOX 1233::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1233,Block Island,RI,02807,PO BOX 1233::#^#::BLOCK ISLAND:^#^: RI 02807
35,LegalConstruct,0,PO BOX 1730::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1730,Block Island,RI,02807,PO BOX 1730::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807
36,AggregateHousehold,0,916 POWDERHORN RD::#^#::FORT WASHINGTON:^#^: PA 19034,916,POWDERHORN,Rd,NOT PARSED,NOT PARSED,FORT WASHINGTON,PA,19034,916 POWDERHORN RD::#^#::FORT WASHINGTON:^#^: PA 19034
37,AggregateHousehold,0,USPS::#^#::P.O. BOX 175::#^#::WOODSTOCK:^#^: VT 05091,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,175,WOODSTOCK,VT,05091,USPS::#^#::P.O. BOX 175::#^#::WOODSTOCK:^#^: VT 05091
38,AggregateHousehold,0,80 RUTLAND RD::#^#::BROOKLYN:^#^: NY 11225,80,RUTLAND,Rd,NOT PARSED,NOT PARSED,BROOKLYN,NY,11225,80 RUTLAND RD::#^#::BROOKLYN:^#^: NY 11225
39,AggregateHousehold,0,281 MCLAIN ST::#^#::BEDFORD HILLS:^#^: NY 10507,281,MCLAIN,St,NOT PARSED,NOT PARSED,BEDFORD HILLS,NY,10507,281 MCLAIN ST::#^#::BEDFORD HILLS:^#^: NY 10507
40,LegalConstruct,0,63 WESSKUM WOOD ROAD::#^#::RIVERSIDE:^#^: CT 06878,63,WESSKUM WOOD,Rd,NOT PARSED,NOT PARSED,RIVERSIDE,CT,06878,63 WESSKUM WOOD ROAD::#^#::RIVERSIDE:^#^: CT 06878
41,LegalConstruct,0,PO BOX 1474::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1474,Block Island,RI,02807,PO BOX 1474::#^#::BLOCK ISLAND:^#^: RI 02807
42,AggregateHousehold,0,PO BOX 10::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,10,Block Island,RI,02807,PO BOX 10::#^#::BLOCK ISLAND:^#^: RI 02807
43,AggregateHousehold,0,PO BOX 536::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,536,Block Island,RI,02807,PO BOX 536::#^#::BLOCK ISLAND:^#^: RI 02807
44,LegalConstruct,0,229 FORDHAM RD::#^#::VALATIE:^#^: NY 12184,229,FORDHAM,Rd,NOT PARSED,NOT PARSED,VALATIE,NY,12184,229 FORDHAM RD::#^#::VALATIE:^#^: NY 12184
45,AggregateHousehold,0,PO BOX106::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,106,Block Island,RI,02807,PO BOX106::#^#::BLOCK ISLAND:^#^: RI 02807
46,AggregateHousehold,0,165 BOGGS HILL RD::#^#::NEWTOWN:^#^: CT 06417,165,BOGGS HILL,Rd,NOT PARSED,NOT PARSED,NEWTOWN,CT,06417,165 BOGGS HILL RD::#^#::NEWTOWN:^#^: CT 06417
47,Business,0,PO BOX 85::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,85,Block Island,RI,02807,PO BOX 85::#^#::BLOCK ISLAND:^#^: RI 02807
48,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
49,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
50,LegalConstruct,0,481 PEA POND ROAD::#^#::KATONAH:^#^: NY 10536,481,PEA POND,Rd,NOT PARSED,NOT PARSED,KATONAH,NY,10536,481 PEA POND ROAD::#^#::KATONAH:^#^: NY 10536
51,AggregateHousehold,0,PO BOX 10::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,10,Block Island,RI,02807,PO BOX 10::#^#::BLOCK ISLAND:^#^: RI 02807
52,Business,0,PO BOX 1287::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1287,Block Island,RI,02807,PO BOX 1287::#^#::BLOCK ISLAND:^#^: RI 02807
53,Business,0,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917,12,SANDERSON,Rd,NOT PARSED,NOT PARSED,SMITHFIELD,RI,02917,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917
54,Business,0,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917,12,SANDERSON,Rd,NOT PARSED,NOT PARSED,SMITHFIELD,RI,02917,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917
55,LegalConstruct,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
56,Business,0,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917,12,SANDERSON,Rd,NOT PARSED,NOT PARSED,SMITHFIELD,RI,02917,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917
57,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
58,Business,0,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917,12,SANDERSON,Rd,NOT PARSED,NOT PARSED,SMITHFIELD,RI,02917,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917
59,Business,0,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906
60,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
61,LegalConstruct,0,PO BOX 106::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,106,Block Island,RI,02807,PO BOX 106::#^#::BLOCK ISLAND:^#^: RI 02807
62,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
63,Business,0,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917,12,SANDERSON,Rd,NOT PARSED,NOT PARSED,SMITHFIELD,RI,02917,12 SANDERSON ROAD::#^#::SMITHFIELD:^#^: RI 02917
64,Individual,0,38 CROSBY ST. #2R::#^#::NEW YORK:^#^: NY 10013,38,CROSBY,St,#,2R,NEW YORK,NY,10013,38 CROSBY ST. #2R::#^#::NEW YORK:^#^: NY 10013
65,AggregateHousehold,0,11 ROCKWOOD COURT::#^#::SOUTHINGTON:^#^: CT 06489,11,ROCKWOOD,Ct,NOT PARSED,NOT PARSED,SOUTHINGTON,CT,06489,11 ROCKWOOD COURT::#^#::SOUTHINGTON:^#^: CT 06489
66,LegalConstruct,0,PO BOX1474::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1474,Block Island,RI,02807,PO BOX1474::#^#::BLOCK ISLAND:^#^: RI 02807
67,AggregateHousehold,0,PO BOX 1915::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1915,Block Island,RI,02807,PO BOX 1915::#^#::BLOCK ISLAND:^#^: RI 02807
68,AggregateHousehold,0,61 CANTON AVE::#^#::MILTON:^#^: MA 02186,61,CANTON,Ave,NOT PARSED,NOT PARSED,MILTON,MA,02186,61 CANTON AVE::#^#::MILTON:^#^: MA 02186
70,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
71,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
72,AggregateHousehold,0,PO BOX 1917::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1917,Block Island,RI,02807,PO BOX 1917::#^#::BLOCK ISLAND:^#^: RI 02807
73,Business,0,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN STREET::#^#::PROVIDENCE:^#^: RI 02906
74,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
75,LegalConstruct,0,C/O WILLIAM WILSON JR TRUST::#^#::17 DUDLEYVILLE ROAD::#^#::LEVERETT:^#^: MA 01054,17,DUDLEYVILLE,Rd,NOT PARSED,NOT PARSED,LEVERETT,MA,01054,C/O WILLIAM WILSON JR TRUST::#^#::17 DUDLEYVILLE ROAD::#^#::LEVERETT:^#^: MA 01054
76,LegalConstruct,0,PO BOX 1425::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1425,Block Island,RI,02807,PO BOX 1425::#^#::BLOCK ISLAND:^#^: RI 02807
77,AggregateHousehold,0,P.O. BOX 1078::#^#::BLOCKL ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1078,Block Island,RI,02807,P.O. BOX 1078::#^#::BLOCKL ISLAND:^#^: RI 02807
78,LegalConstruct,0,PO BOX 1325::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1325,Block Island,RI,02807,PO BOX 1325::#^#::BLOCK ISLAND:^#^: RI 02807
79,LegalConstruct,0,481 PEA POND ROAD::#^#::KATONAH:^#^: NY 10536,481,PEA POND,Rd,NOT PARSED,NOT PARSED,KATONAH,NY,10536,481 PEA POND ROAD::#^#::KATONAH:^#^: NY 10536
80,LegalConstruct,0,C/O WILLIAM WILSON TRUST::#^#::17 DUDLEYVILLE ROAD::#^#::LEVERETT:^#^: MA 01054,17,DUDLEYVILLE,Rd,NOT PARSED,NOT PARSED,LEVERETT,MA,01054,C/O WILLIAM WILSON TRUST::#^#::17 DUDLEYVILLE ROAD::#^#::LEVERETT:^#^: MA 01054
81,LegalConstruct,0,63 WESSKUM WOOD ROAD::#^#::RIVERSIDE:^#^: CT 06878,63,WESSKUM WOOD,Rd,NOT PARSED,NOT PARSED,RIVERSIDE,CT,06878,63 WESSKUM WOOD ROAD::#^#::RIVERSIDE:^#^: CT 06878
82,LegalConstruct,0,PO BOX 534::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,534,Block Island,RI,02807,PO BOX 534::#^#::BLOCK ISLAND:^#^: RI 02807
83,AggregateHousehold,0,1265 LITTLE HARBOR LA::#^#::VERO BEACH:^#^: FL 32963,1265,LITTLE HARBOR,Ln,NOT PARSED,NOT PARSED,VERO BEACH,FL,32963,1265 LITTLE HARBOR LA::#^#::VERO BEACH:^#^: FL 32963
84,AggregateHousehold,0,230 MONTEREY RD::#^#::PALM BEACH:^#^: FL 33480,230,MONTEREY,Rd,NOT PARSED,NOT PARSED,PALM BEACH,FL,33480,230 MONTEREY RD::#^#::PALM BEACH:^#^: FL 33480
85,AggregateHousehold,0,PO BOX 243::#^#::OLD LYME:^#^: CT 06371,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,243,OLD LYME,CT,06371,PO BOX 243::#^#::OLD LYME:^#^: CT 06371
86,Individual,0,PO BOX 964::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,964,Block Island,RI,02807,PO BOX 964::#^#::BLOCK ISLAND:^#^: RI 02807
87,AggregateHousehold,0,794 VIRGINIA PARK CIRCLE NE::#^#::UNIT 103::#^#::ATLANTA:^#^: GA 30306,794,VIRGINIA PARK CIRCLE NE,Cir,UNIT,103,ATLANTA,GA,30306,794 VIRGINIA PARK CIRCLE NE::#^#::UNIT 103::#^#::ATLANTA:^#^: GA 30306
88,AggregateHousehold,0,3 COHAWNEY ROAD::#^#::SCARSDALE:^#^: NY 10583,3,COHAWNEY,Rd,NOT PARSED,NOT PARSED,SCARSDALE,NY,10583,3 COHAWNEY ROAD::#^#::SCARSDALE:^#^: NY 10583
89,AggregateHousehold,0,PO BOX 572::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,572,Block Island,RI,02807,PO BOX 572::#^#::BLOCK ISLAND:^#^: RI 02807
90,AggregateHousehold,0,15 WEST 53RD STREET:^#^:  APT 17B::#^#::NY:^#^: NY 10019,15,53RD,St,APT,17B,NY,NY,10019,15 WEST 53RD STREET:^#^:  APT 17B::#^#::NY:^#^: NY 10019
91,LegalConstruct,0,PO BOX 388::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,388,Block Island,RI,02807,PO BOX 388::#^#::BLOCK ISLAND:^#^: RI 02807
93,LegalConstruct,0,855 FLETCHER ROAD::#^#::NORTH KINGSTON:^#^: RI 02852,855,FLETCHER,Rd,NOT PARSED,NOT PARSED,NORTH KINGSTON,RI,02852,855 FLETCHER ROAD::#^#::NORTH KINGSTON:^#^: RI 02852
94,LegalConstruct,0,105 MIDDLE RIVER ROAD::#^#::DANBURY:^#^: CT 06810,105,MIDDLE RIVER,Rd,NOT PARSED,NOT PARSED,DANBURY,CT,06810,105 MIDDLE RIVER ROAD::#^#::DANBURY:^#^: CT 06810
95,LegalConstruct,0,156 SYLVAN AVE::#^#::LEONIA:^#^: NJ 07605,156,SYLVAN,Ave,NOT PARSED,NOT PARSED,LEONIA,NJ,07605,156 SYLVAN AVE::#^#::LEONIA:^#^: NJ 07605
96,AggregateHousehold,0,20 LIBERTY ST::#^#::CHESTER:^#^: CT 06412,20,LIBERTY,St,NOT PARSED,NOT PARSED,CHESTER,CT,06412,20 LIBERTY ST::#^#::CHESTER:^#^: CT 06412
97,LegalConstruct,0,27 SIMON WILLIARD LANE::#^#::CONCORD:^#^: MA 01742,27,SIMON WILLIARD,Ln,NOT PARSED,NOT PARSED,CONCORD,MA,01742,27 SIMON WILLIARD LANE::#^#::CONCORD:^#^: MA 01742
98,LegalConstruct,0,29 ASHMONT ROAD::#^#::WABAN:^#^: MA 02468,29,ASHMONT,Rd,NOT PARSED,NOT PARSED,WABAN,MA,02468,29 ASHMONT ROAD::#^#::WABAN:^#^: MA 02468
99,LegalConstruct,0,PO BOX 1528::#^#::BLOCK ISLAND :^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1528,Block Island,RI,02807,PO BOX 1528::#^#::BLOCK ISLAND :^#^: RI 02807
100,LegalConstruct,0,35 ORCHARD STREET::#^#::CAMBRIDGE:^#^: MA 02140,35,ORCHARD,St,NOT PARSED,NOT PARSED,CAMBRIDGE,MA,02140,35 ORCHARD STREET::#^#::CAMBRIDGE:^#^: MA 02140
101,AggregateHousehold,0,75 SHELFORD AVE.::#^#::SAN CARLOS:^#^: CA 94070,75,SHELFORD,Ave,NOT PARSED,NOT PARSED,SAN CARLOS,CA,94070,75 SHELFORD AVE.::#^#::SAN CARLOS:^#^: CA 94070
102,AggregateHousehold,0,PO BOX 1915::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1915,Block Island,RI,02807,PO BOX 1915::#^#::BLOCK ISLAND:^#^: RI 02807
103,AggregateHousehold,0,38 LAURELWOOD DR::#^#::WEBSTER:^#^: MA 02570,38,LAURELWOOD,Dr,NOT PARSED,NOT PARSED,WEBSTER,MA,02570,38 LAURELWOOD DR::#^#::WEBSTER:^#^: MA 02570
104,LegalConstruct,0,PO BOX 964::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,964,Block Island,RI,02807,PO BOX 964::#^#::BLOCK ISLAND:^#^: RI 02807
105,LegalConstruct,0,PO BOX 1325::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1325,Block Island,RI,02807,PO BOX 1325::#^#::BLOCK ISLAND:^#^: RI 02807
106,Individual,0,130 AMITY STREET::#^#::BROOKLYN:^#^: NY 11201,130,AMITY,St,NOT PARSED,NOT PARSED,BROOKLYN,NY,11201,130 AMITY STREET::#^#::BROOKLYN:^#^: NY 11201
107,LegalConstruct,0,P.O. BOX 7::#^#::MALIBU:^#^: CA 90265,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,7,MALIBU,CA,90265,P.O. BOX 7::#^#::MALIBU:^#^: CA 90265
108,AggregateHousehold,0,865 ORANGE CENTER RD.  ::#^#::ORANGE:^#^: CT 06477,865,ORANGE CENTER,Rd,NOT PARSED,NOT PARSED,ORANGE,CT,06477,865 ORANGE CENTER RD.  ::#^#::ORANGE:^#^: CT 06477
109,LegalConstruct,0,5250 WHEATLAND DR.::#^#::ZIONSVILLE:^#^: PA 18092,5250,WHEATLAND,Dr,NOT PARSED,NOT PARSED,ZIONSVILLE,PA,18092,5250 WHEATLAND DR.::#^#::ZIONSVILLE:^#^: PA 18092
110,LegalConstruct,0,185 PINE CREEK AVE.::#^#::FAIRFIELD:^#^: CT 06824,185,PINE CREEK,Ave,NOT PARSED,NOT PARSED,FAIRFIELD,CT,06824,185 PINE CREEK AVE.::#^#::FAIRFIELD:^#^: CT 06824
111,AggregateHousehold,0,51A BAYVIEW AVENUE::#^#::PORT WASHINGTON:^#^: NY 11050,51,A BAYVIEW,Ave,NOT PARSED,NOT PARSED,PORT WASHINGTON,NY,11050,51A BAYVIEW AVENUE::#^#::PORT WASHINGTON:^#^: NY 11050
112,LegalConstruct,0,63 WESSKUM WOOD RD::#^#::RIVERSIDE:^#^: CT 06878,63,WESSKUM WOOD,Rd,NOT PARSED,NOT PARSED,RIVERSIDE,CT,06878,63 WESSKUM WOOD RD::#^#::RIVERSIDE:^#^: CT 06878
